EmployeeID,Name,Role,Password
C6001,Tan Guan Han,Manager,a2b1c0
C6002,Adam bin Abu,Full-time,d3e4f5
C6003,Jinu Saja,Part-time,g6h7i8
C6004,Wong Benedict,Part-time,j9k0l1
C6005,Dhaarane,Full-time,m2n3o4
C6006,Adriana Nur Zahra binti Helmi,Part-time,p5q6r7
C6007,Kang Rumi,Full-time,s8t9u0
C6008,Li Xinyi,Full-time,v1w2x3
C6009,Megan Mei,Part-time,y4z5a6
C6010,Aminah binti Said,Full-time,b7c8d9
C6011,Jarjit Singh,Part-time,e0f1g2
C6012,Khairul Ariffin bin Muhammad,Part-time,h3i4j5
C6013,nick,full-time,abc
